〇,ling
萡,bo
北,bei
杯,bei
背,bei
悲,bei
备,bei
碑,bei
贝,bei
辈,bei
钡,bei
焙,bei
狈,bei
惫,bei
褙,bei
悖,bei
蓓,bei
鹎,bei
邶,bei
碚,bei
俻,bei
偝,bei
偹,bei
備,bei
僃,bei
愂,bei
憊,bei
揹,bei
昁,bei
桮,bei
梖,bei
牬,bei
犕,bei
狽,bei
珼,bei
盃,bei
禙,bei
糒,bei
苝,bei
藣,bei
蛽,bei
貝,bei
軰,bei
輩,bei
鄁,bei
鉳,bei
鋇,bei
鵯,bei
苯,ben
笨,ben
锛,ben
畚,ben
坌,ben
倴,ben
奙,ben
捹,ben
撪,ben
楍,ben
泍,ben
渀,ben
犇,ben
逩,ben
錛,ben
绷,beng
崩,beng
甏,beng
嘣,beng
塴,beng
嵭,beng
琫,beng
綳,beng
繃,beng
菶,beng
鏰,beng
镚,beng
閍,beng
鞛,beng
笔,bi
闭,bi
鼻,bi
碧,bi
必,bi
避,bi
逼,bi
毕,bi
彼,bi
鄙,bi
壁,bi
蓖,bi
弊,bi
毙,bi
敝,bi
陛,bi
毖,bi
痹,bi
秕,bi
荸,bi
畀,bi
嬖,bi
狴,bi
筚,bi
箅,bi
舭,bi
荜,bi
襞,bi
跸,bi
愎,bi
滗,bi
璧,bi
哔,bi
髀,bi
弼,bi
妣,bi
婢,bi
佊,bi
佖,bi
嗶,bi
坒,bi
堛,bi
夶,bi
奰,bi
妼,bi
嬶,bi
屄,bi
幣,bi
幤,bi
廦,bi
弻,bi
彃,bi
怭,bi
愊,bi
斃,bi
朼,bi
柀,bi
梐,bi
楅,bi
毴,bi
沘,bi
湢,bi
滭,bi
潷,bi
煏,bi
熚,bi
獘,bi
獙,bi
珌,bi
畢,bi
疕,bi
疪,bi
皕,bi
筆,bi
篳,bi
粊,bi
綼,bi
縪,bi
繴,bi
罼,bi
聛,bi
腷,bi
萞,bi
蓽,bi
蜌,bi
袐,bi
襅,bi
襣,bi
觱,bi
詖,bi
诐,bi
貏,bi
貱,bi
贔,bi
赑,bi
蹕,bi
躃,bi
躄,bi
鄨,bi
鄪,bi
鏎,bi
閇,bi
閉,bi
閟,bi
韠,bi
飶,bi
饆,bi
馝,bi
駜,bi
驆,bi
魓,bi
鮅,bi
鰏,bi
鲾,bi
鵖,bi
鷝,bi
鷩,bi
鼊,bi
边,bian
变,bian
遍,bian
编,bian
鞭,bian
辫,bian
忭,bian
砭,bian
匾,bian
汴,bian
碥,bian
鳊,bian
笾,bian
苄,bian
窆,bian
煸,bian
変,bian
峅,bian
惼,bian
抃,bian
揙,bian
昪,bian
汳,bian
炞,bian
甂,bian
稨,bian
箯,bian
籩,bian
糄,bian
編,bian
艑,bian
藊,bian
覍,bian
變,bian
辡,bian
辮,bian
邉,bian
邊,bian
釆,bian
鍽,bian
鯾,bian
鯿,bian
鴘,bian
表,biao
标,biao
彪,biao
婊,biao
飙,biao
鳔,biao
瘭,biao
飚,biao
镳,biao
裱,biao
镖,biao
俵,biao
儦,biao
墂,biao
幖,biao
標,biao
檦,biao
滮,biao
瀌,biao
熛,biao
爂,biao
猋,biao
脿,biao
臕,biao
褾,biao
諘,biao
贆,biao
錶,biao
鏢,biao
鑣,biao
颷,biao
飆,biao
飇,biao
飈,biao
飊,biao
别,bie
憋,bie
鳖,bie
瘪,bie
蹩,bie
別,bie
彆,bie
徶,bie
癟,bie
莂,bie
虌,bie
蛂,bie
蟞,bie
襒,bie
鱉,bie
鼈,bie
龞,bie
宾,bin
濒,bin
摈,bin
斌,bin
滨,bin
膑,bin
殡,bin
缤,bin
髌,bin
傧,bin
鬓,bin
镔,bin
儐,bin
擯,bin
椕,bin
殯,bin
濱,bin
濵,bin
瀕,bin
繽,bin
臏,bin
虨,bin
賓,bin
賔,bin
邠,bin
鑌,bin
霦,bin
顮,bin
髕,bin
髩,bin
鬂,bin
鬢,bin
并,bing
病,bing
兵,bing
丙,bing
饼,bing
秉,bing
柄,bing
炳,bing
摒,bing
禀,bing
邴,bing
仌,bing
併,bing
倂,bing
偋,bing
傡,bing
冫,bing
垪,bing
寎,bing
幷,bing
怲,bing
抦,bing
掤,bing
昺,bing
栤,bing
棅,bing
氷,bing
窉,bing
竝,bing
苪,bing
蛃,bing
誁,bing
鈵,bing
陃,bing
靐,bing
鞆,bing
餅,bing
餠,bing
播,bo
博,bo
驳,bo
玻,bo
菠,bo
钵,bo
搏,bo
脖,bo
帛,bo
舶,bo
渤,bo
铂,bo
箔,bo
礴,bo
亳,bo
鹁,bo
啵,bo
簸,bo
钹,bo
饽,bo
仢,bo
侼,bo
僠,bo
僰,bo
孹,bo
嶓,bo
愽,bo
懪,bo
挬,bo
欂,bo
浡,bo
煿,bo
牔,bo
狛,bo
瓝,bo
癶,bo
盋,bo
礡,bo
秡,bo
簙,bo
糪,bo
缽,bo
胉,bo
艊,bo
葧,bo
袯,bo
襮,bo
譒,bo
蹳,bo
郣,bo
鈸,bo
鉑,bo
鉢,bo
鋍,bo
鎛,bo
鑮,bo
镈,bo
餑,bo
餺,bo
馎,bo
馛,bo
駁,bo
駮,bo
驋,bo
鱍,bo
鵓,bo
步,bu
补,bu
布,bu
捕,bu
埠,bu
怖,bu
瓿,bu
逋,bu
晡,bu
钸,bu
醭,bu
佈,bu
勏,bu
咘,bu
埗,bu
峬,bu
庯,bu
廍,bu
悑,bu
歨,bu
歩,bu
篰,bu
蔀,bu
補,bu
誧,bu
踄,bu
轐,bu
鈽,bu
餔,bu
餢,bu
鳪,bu
鸔,bu
擦,ca
礤,ca
礸,ca
遪,ca
菜,cai
采,cai
材,cai
财,cai
裁,cai
猜,cai
睬,cai
彩,cai
倸,cai
埰,cai
婇,cai
寀,cai
採,cai
棌,cai
綵,cai
縩,cai
財,cai
跴,cai
残,can
惨,can
惭,can
灿,can
骖,can
璨,can
黪,can
粲,can
儏,can
嬠,can
慘,can
慙,can
慚,can
憯,can
殘,can
湌,can
澯,can
燦,can
爘,can
薒,can
蝅,can
蠶,can
蠺,can
飡,can
驂,can
黲,can
沧,cang
舱,cang
苍,cang
凔,cang
嵢,cang
滄,cang
濸,cang
獊,cang
艙,cang
蒼,cang
螥,cang
賶,cang
鑶,cang
操,cao
曹,cao
糙,cao
嘈,cao
艚,cao
螬,cao
漕,cao
嶆,cao
愺,cao
撡,cao
曺,cao
肏,cao
艸,cao
蓸,cao
褿,cao
襙,cao
鏪,cao
騲,cao
策,ce
测,ce
恻,ce
惻,ce
憡,ce
敇,ce
測,ce
筞,ce
箣,ce
荝,ce
萗,ce
萴,ce
蓛,ce
岑,cen
层,ceng
蹭,ceng
層,ceng
驓,ceng
岾,zai
茶,cha
岔,cha
搽,cha
碴,cha
镲,cha
衩,cha
汊,cha
馇,cha
姹,cha
杈,cha
锸,cha
侘,cha
偛,cha
嗏,cha
垞,cha
奼,cha
嵖,cha
疀,cha
紁,cha
臿,cha
艖,cha
銟,cha
鍤,cha
鑔,cha
靫,cha
餷,cha
豺,chai
虿,chai
侪,chai
儕,chai
喍,chai
囆,chai
犲,chai
祡,chai
蠆,chai
袃,chai
产,chan
缠,chan
阐,chan
铲,chan
谗,chan
蝉,chan
馋,chan
婵,chan
蒇,chan
谄,chan
冁,chan
廛,chan
蟾,chan
羼,chan
潺,chan
丳,chan
儳,chan
刬,chan
剗,chan
剷,chan
劖,chan
嚵,chan
囅,chan
壥,chan
嬋,chan
巉,chan
幝,chan
幨,chan
懴,chan
懺,chan
旵,chan
棎,chan
毚,chan
浐,chan
湹,chan
滻,chan
潹,chan
瀍,chan
瀺,chan
灛,chan
煘,chan
獑,chan
產,chan
産,chan
硟,chan
磛,chan
簅,chan
緾,chan
繟,chan
纏,chan
纒,chan
艬,chan
蕆,chan
誗,chan
諂,chan
讇,chan
讒,chan
辿,chan
鄽,chan
酁,chan
鋋,chan
鋓,chan
鏟,chan
鑱,chan
镵,chan
閳,chan
闡,chan
韂,chan
饞,chan
唱,chang
常,chang
尝,chang
肠,chang
畅,chang
昌,chang
倡,chang
偿,chang
猖,chang
鲳,chang
氅,chang
菖,chang
嫦,chang
徜,chang
鬯,chang
怅,chang
昶,chang
苌,chang
娼,chang
僘,chang
償,chang
厰,chang
嘗,chang
嚐,chang
廠,chang
悵,chang
暢,chang
椙,chang
淐,chang
琩,chang
瑺,chang
瓺,chang
甞,chang
畼,chang
腸,chang
膓,chang
萇,chang
蟐,chang
裮,chang
誯,chang
鋹,chang
錩,chang
锠,chang
韔,chang
鯧,chang
鱨,chang
鲿,chang
鼚,chang
潮,chao
巢,chao
炒,chao
钞,chao
怊,chao
耖,chao
仦,chao
巐,chao
巣,chao
弨,chao
欩,chao
漅,chao
煼,chao
牊,chao
眧,chao
窲,chao
罺,chao
觘,chao
轈,chao
鄛,chao
鈔,chao
麨,chao
撤,che
扯,che
掣,che
彻,che
澈,che
坼,che
砗,che
偖,che
勶,che
唓,che
徹,che
撦,che
烢,che
爡,che
瞮,che
硨,che
硩,che
聅,che
莗,che
蛼,che
迠,che
頙,che
辰,chen
臣,chen
尘,chen
晨,chen
沉,chen
陈,chen
衬,chen
榇,chen
谌,chen
碜,chen
宸,chen
龀,chen
琛,chen
嚫,chen
塵,chen
墋,chen
夦,chen
敐,chen
曟,chen
棽,chen
樄,chen
烥,chen
煁,chen
疢,chen
瘎,chen
茞,chen
莐,chen
蔯,chen
薼,chen
螴,chen
襯,chen
訦,chen
諃,chen
諶,chen
賝,chen
贂,chen
趻,chen
踸,chen
霃,chen
鷐,chen
麎,chen
齓,chen
齔,chen
成,cheng
撑,cheng
城,cheng
程,cheng
呈,cheng
诚,cheng
惩,cheng
骋,cheng
塍,cheng
埕,cheng
铖,cheng
酲,cheng
裎,cheng
枨,cheng
蛏,cheng
堘,cheng
塖,cheng
宬,cheng
峸,cheng
庱,cheng
悜,cheng
憆,cheng
懲,cheng
挰,cheng
掁,cheng
摚,cheng
撐,cheng
棦,cheng
橕,cheng
檉,cheng
檙,cheng
泟,cheng
洆,cheng
浾,cheng
溗,cheng
牚,cheng
珹,cheng
琤,cheng
畻,cheng
睈,cheng
碀,cheng
窚,cheng
竀,cheng
筬,cheng
絾,cheng
緽,cheng
脭,cheng
荿,cheng
蟶,cheng
誠,cheng
赪,cheng
赬,cheng
郕,cheng
鋮,cheng
鏿,cheng
阷,cheng
靗,cheng
頳,cheng
饓,cheng
騁,cheng
騬,cheng
鯎,cheng
翅,chi
痴,chi
赤,chi
齿,chi
耻,chi
持,chi
侈,chi
弛,chi
驰,chi
炽,chi
踟,chi
墀,chi
媸,chi
豉,chi
褫,chi
瘛,chi
蚩,chi
鸱,chi
眵,chi
螭,chi
篪,chi
魑,chi
叱,chi
笞,chi
嗤,chi
傺,chi
侙,chi
勅,chi
卶,chi
叺,chi
呎,chi
垑,chi
妛,chi
彨,chi
彲,chi
恜,chi
恥,chi
慗,chi
憏,chi
懘,chi
抶,chi
摛,chi
攡,chi
杘,chi
歯,chi
湁,chi
灻,chi
烾,chi
熾,chi
瓻,chi
痸,chi
癡,chi
瞝,chi
竾,chi
筂,chi
翄,chi
翤,chi
翨,chi
肔,chi
胣,chi
腟,chi
荎,chi
蚇,chi
裭,chi
訵,chi
謘,chi
貾,chi
趩,chi
遅,chi
遫,chi
鉓,chi
鉹,chi
雴,chi
馳,chi
鴟,chi
鵄,chi
鶒,chi
鷘,chi
麶,chi
黐,chi
齒,chi
齝,chi
冲,chong
充,chong
崇,chong
忡,chong
铳,chong
茺,chong
嘃,chong
崈,chong
憃,chong
摏,chong
沖,chong
浺,chong
珫,chong
罿,chong
翀,chong
衝,chong
蹖,chong
銃,chong
隀,chong
抽,chou
丑,chou
酬,chou
踌,chou
畴,chou
瞅,chou
雠,chou
丒,chou
吜,chou
嬦,chou
懤,chou
杽,chou
栦,chou
殠,chou
燽,chou
犨,chou
犫,chou
疇,chou
皗,chou
矁,chou
篘,chou
絒,chou
菗,chou
躊,chou
遚,chou
酧,chou
醜,chou
雔,chou
魗,chou
出,chu
处,chu
初,chu
触,chu
橱,chu
楚,chu
础,chu
储,chu
滁,chu
矗,chu
搐,chu
厨,chu
杵,chu
刍,chu
绌,chu
亍,chu
憷,chu
蹰,chu
黜,chu
樗,chu
傗,chu
儊,chu
儲,chu
処,chu
岀,chu
幮,chu
廚,chu
斶,chu
椘,chu
榋,chu
檚,chu
櫉,chu
櫥,chu
歜,chu
濋,chu
犓,chu
珿,chu
璴,chu
礎,chu
禇,chu
竌,chu
篨,chu
絀,chu
耡,chu
臅,chu
蒢,chu
蒭,chu
蟵,chu
觸,chu
豖,chu
豠,chu
貙,chu
趎,chu
躕,chu
鄐,chu
閦,chu
鶵,chu
齣,chu
齭,chu
齼,chu
膗,chuai
船,chuan
川,chuan
喘,chuan
椽,chuan
氚,chuan
遄,chuan
钏,chuan
舛,chuan
剶,chuan
暷,chuan
歂,chuan
汌,chuan
玔,chuan
瑏,chuan
荈,chuan
賗,chuan
輲,chuan
釧,chuan
床,chuang
创,chuang
疮,chuang
怆,chuang
傸,chuang
刅,chuang
刱,chuang
剏,chuang
剙,chuang
噇,chuang
愴,chuang
摐,chuang
牀,chuang
牎,chuang
牕,chuang
瘡,chuang
磢,chuang
窓,chuang
窻,chuang
吹,chui
炊,chui
锤,chui
陲,chui
桘,chui
菙,chui
錘,chui
顀,chui
龡,chui
春,chun
蠢,chun
醇,chun
椿,chun
蝽,chun
莼,chun
偆,chun
媋,chun
惷,chun
旾,chun
暙,chun
杶,chun
槆,chun
橁,chun
櫄,chun
浱,chun
滣,chun
漘,chun
犉,chun
瑃,chun
睶,chun
箺,chun
脣,chun
萅,chun
萶,chun
蒓,chun
賰,chun
醕,chun
陙,chun
鯙,chun
鰆,chun
鶞,chun
戳,chuo
龊,chuo
辍,chuo
嚽,chuo
擉,chuo
歠,chuo
涰,chuo
磭,chuo
輟,chuo
辵,chuo
辶,chuo
逴,chuo
酫,chuo
鑡,chuo
齪,chuo
此,ci
词,ci
瓷,ci
慈,ci
雌,ci
磁,ci
辞,ci
茨,ci
赐,ci
鹚,ci
糍,ci
佌,ci
佽,ci
偨,ci
刾,ci
垐,ci
嬨,ci
庛,ci
朿,ci
柌,ci
栨,ci
濨,ci
珁,ci
甆,ci
皉,ci
礠,ci
絘,ci
茦,ci
莿,ci
蛓,ci
螆,ci
詞,ci
賜,ci
趀,ci
辝,ci
辤,ci
辭,ci
飺,ci
餈,ci
鴜,ci
鶿,ci
鷀,ci
嗭,zi
丛,cong
匆,cong
聪,cong
琮,cong
璁,cong
骢,cong
苁,cong
叢,cong
婃,cong
孮,cong
従,cong
徖,cong
忩,cong
怱,cong
悤,cong
悰,cong
暰,cong
樬,cong
樷,cong
欉,cong
漗,cong
灇,cong
爜,cong
瑽,cong
瞛,cong
篵,cong
繱,cong
聡,cong
聦,cong
聰,cong
茐,cong
藂,cong
蟌,cong
誴,cong
謥,cong
賨,cong
賩,cong
鏦,cong
騘,cong
驄,cong
凑,cou
辏,cou
腠,cou
湊,cou
輳,cou
粗,cu
猝,cu
蹙,cu
殂,cu
媨,cu
憱,cu
瘄,cu
瘯,cu
縬,cu
誎,cu
趗,cu
顣,cu
麁,cu
麄,cu
麤,cu
鼀,cu
窜,cuan
蹿,cuan
篡,cuan
汆,cuan
爨,cuan
撺,cuan
巑,cuan
攛,cuan
櫕,cuan
殩,cuan
熶,cuan
竄,cuan
簒,cuan
躥,cuan
鑹,cuan
催,cui
脆,cui
翠,cui
崔,cui
瘁,cui
璀,cui
悴,cui
萃,cui
榱,cui
乼,cui
凗,cui
啛,cui
墔,cui
忰,cui
慛,cui
漼,cui
焠,cui
疩,cui
皠,cui
磪,cui
竁,cui
翆,cui
脃,cui
膬,cui
膵,cui
臎,cui
鏙,cui
村,cun
寸,cun
存,cun
忖,cun
皴,cun
刌,cun
澊,cun
竴,cun
籿,cun
邨,cun
磋,cuo
鹾,cuo
痤,cuo
蹉,cuo
锉,cuo
矬,cuo
剉,cuo
剒,cuo
夎,cuo
瑳,cuo
莝,cuo
莡,cuo
蒫,cuo
蓌,cuo
虘,cuo
逪,cuo
遳,cuo
醝,cuo
銼,cuo
鹺,cuo
答,da
打,da
瘩,da
笪,da
哒,da
褡,da
靼,da
妲,da
亣,da
匒,da
咑,da
噠,da
垯,da
墶,da
炟,da
燵,da
畣,da
眔,da
繨,da
羍,da
荙,da
薘,da
蟽,da
詚,da
跶,da
躂,da
鐽,da
龖,da
龘,da
带,dai
代,dai
戴,dai
待,dai
袋,dai
傣,dai
殆,dai
玳,dai
迨,dai
岱,dai
甙,dai
黛,dai
绐,dai
埭,dai
侢,dai
叇,dai
垈,dai
帒,dai
帯,dai
帶,dai
懛,dai
曃,dai
柋,dai
瀻,dai
獃,dai
瑇,dai
簤,dai
紿,dai
緿,dai
艜,dai
襶,dai
軑,dai
軩,dai
轪,dai
霴,dai
靆,dai
鴏,dai
蛋,dan
丹,dan
耽,dan
旦,dan
氮,dan
诞,dan
瘅,dan
殚,dan
聃,dan
箪,dan
啖,dan
刐,dan
勯,dan
匰,dan
啗,dan
啿,dan
噉,dan
嚪,dan
妉,dan
媅,dan
帎,dan
憺,dan
柦,dan
殫,dan
沊,dan
泹,dan
狚,dan
玬,dan
瓭,dan
甔,dan
疍,dan
癚,dan
砃,dan
禫,dan
窞,dan
簞,dan
紞,dan
耼,dan
聸,dan
腅,dan
膽,dan
蜑,dan
衴,dan
褝,dan
觛,dan
誕,dan
贉,dan
躭,dan
霮,dan
饏,dan
馾,dan
駳,dan
髧,dan
鴠,dan
黕,dan
当,dang
党,dang
挡,dang
档,dang
谠,dang
宕,dang
菪,dang
凼,dang
裆,dang
砀,dang
儅,dang
噹,dang
圵,dang
垱,dang
壋,dang
擋,dang
檔,dang
氹,dang
澢,dang
珰,dang
璗,dang
璫,dang
瓽,dang
當,dang
盪,dang
瞊,dang
碭,dang
礑,dang
筜,dang
簹,dang
艡,dang
蟷,dang
襠,dang
譡,dang
讜,dang
趤,dang
雼,dang
到,dao
道,dao
倒,dao
岛,dao
盗,dao
稻,dao
捣,dao
悼,dao
导,dao
蹈,dao
祷,dao
忉,dao
氘,dao
刂,dao
噵,dao
壔,dao
導,dao
島,dao
嶋,dao
嶌,dao
嶹,dao
捯,dao
搗,dao
椡,dao
槝,dao
檤,dao
瓙,dao
盜,dao
禂,dao
禱,dao
稲,dao
翿,dao
舠,dao
菿,dao
衜,dao
衟,dao
軇,dao
釖,dao
陦,dao
隝,dao
隯,dao
魛,dao
鱽,dao
德,de
锝,de
徳,de
恴,de
悳,de
惪,de
淂,de
鍀,de
揼,beng
扥,den
扽,den
等,deng
瞪,deng
凳,deng
蹬,deng
磴,deng
镫,deng
噔,deng
嶝,deng
戥,deng
簦,deng
墱,deng
嬁,deng
櫈,deng
燈,deng
璒,deng
竳,deng
艠,deng
覴,deng
豋,deng
鄧,deng
鐙,deng
隥,deng
哣,pou
第,di
低,di
滴,di
帝,di
递,di
嫡,di
缔,di
涤,di
笛,di
迪,di
蒂,di
邸,di
骶,di
羝,di
娣,di
荻,di
碲,di
镝,di
砥,di
仾,di
俤,di
偙,di
僀,di
厎,di
呧,di
唙,di
啲,di
嚁,di
埊,di
埞,di
墑,di
墬,di
嶳,di
廸,di
弤,di
彽,di
怟,di
掋,di
敵,di
梊,di
梑,di
滌,di
焍,di
玓,di
甋,di
眱,di
磾,di
祶,di
禘,di
糴,di
締,di
腣,di
苖,di
菂,di
菧,di
蔋,di
蔐,di
藡,di
袛,di
豴,di
趆,di
逓,di
鉪,di
鏑,di
阺,di
隄,di
靮,di
鞮,di
頔,di
馰,di
鯳,di
鸐,di
嗲,dia
点,dian
电,dian
店,dian
殿,dian
淀,dian
掂,dian
垫,dian
碘,dian
惦,dian
靛,dian
踮,dian
癫,dian
簟,dian
玷,dian
巅,dian
癜,dian
傎,dian
厧,dian
墊,dian
壂,dian
奌,dian
婝,dian
婰,dian
嵮,dian
巓,dian
巔,dian
扂,dian
攧,dian
敁,dian
敟,dian
椣,dian
橂,dian
澱,dian
琔,dian
癲,dian
磹,dian
蒧,dian
蕇,dian
蜔,dian
蹎,dian
電,dian
驔,dian
齻,dian
钓,diao
叼,diao
吊,diao
雕,diao
刁,diao
碉,diao
凋,diao
铞,diao
鲷,diao
貂,diao
伄,diao
刟,diao
奝,diao
屌,diao
弴,diao
彫,diao
汈,diao
琱,diao
瘹,diao
窎,diao
窵,diao
竨,diao
簓,diao
蛁,diao
訋,diao
釣,diao
鈟,diao
銱,diao
鋽,diao
鑃,diao
雿,diao
鮉,diao
鯛,diao
鵰,diao
鼦,diao
爹,die
叠,die
牒,die
堞,die
瓞,die
蹀,die
耋,die
垤,die
峌,die
幉,die
恎,die
戜,die
曡,die
殜,die
氎,die
牃,die
畳,die
疂,die
疉,die
疊,die
絰,die
绖,die
耊,die
胅,die
艓,die
苵,die
蜨,die
褋,die
褺,die
詄,die
镻,die
顶,ding
定,ding
订,ding
叮,ding
锭,ding
玎,ding
腚,ding
碇,ding
仃,ding
耵,ding
酊,ding
啶,ding
嵿,ding
帄,ding
椗,ding
矴,ding
碠,ding
磸,ding
聢,ding
萣,ding
薡,ding
訂,ding
錠,ding
鐤,ding
靪,ding
頂,ding
顁,ding
飣,ding
饤,ding
丢,diu
铥,diu
丟,diu
銩,diu
动,dong
东,dong
懂,dong
冻,dong
冬,dong
栋,dong
鸫,dong
胨,dong
胴,dong
氡,dong
岽,dong
咚,dong
倲,dong
働,dong
凍,dong
動,dong
埬,dong
姛,dong
娻,dong
嬞,dong
崠,dong
崬,dong
戙,dong
挏,dong
昸,dong
東,dong
棟,dong
氭,dong
涷,dong
笗,dong
箽,dong
腖,dong
苳,dong
菄,dong
蕫,dong
蝀,dong
諌,dong
迵,dong
霘,dong
駧,dong
鮗,dong
鯟,dong
鶇,dong
鶫,dong
鼕,dong
豆,dou
陡,dou
抖,dou
痘,dou
兜,dou
蚪,dou
窦,dou
篼,dou
蔸,dou
乧,dou
兠,dou
剅,dou
唗,dou
斣,dou
梪,dou
橷,dou
浢,dou
脰,dou
荳,dou
郖,dou
酘,dou
鈄,dou
閗,dou
闘,dou
阧,dou
餖,dou
饾,dou
鬥,dou
鬦,dou
鬪,dou
鬬,dou
鬭,dou
渡,du
独,du
肚,du
镀,du
赌,du
睹,du
督,du
犊,du
妒,du
蠹,du
笃,du
嘟,du
椟,du
牍,du
黩,du
髑,du
芏,du
匵,du
厾,du
妬,du
嬻,du
櫝,du
殬,du
殰,du
涜,du
牘,du
犢,du
獨,du
琽,du
瓄,du
皾,du
秺,du
篤,du
荰,du
螙,du
蠧,du
裻,du
覩,du
読,du
讟,du
豄,du
賭,du
贕,du
醏,du
錖,du
鍍,du
鑟,du
靯,du
韇,du
韣,du
韥,du
騳,du
黷,du
段,duan
短,duan
断,duan
端,duan
锻,duan
缎,duan
椴,duan
煅,duan
簖,duan
偳,duan
塅,duan
媏,duan
斷,duan
毈,duan
瑖,duan
碫,duan
籪,duan
緞,duan
腶,duan
葮,duan
躖,duan
鍛,duan
鍴,duan
对,dui
队,dui
碓,dui
怼,dui
憝,dui
垖,dui
塠,dui
対,dui
對,dui
懟,dui
濧,dui
瀩,dui
痽,dui
祋,dui
綐,dui
薱,dui
譈,dui
譵,dui
陮,dui
頧,dui
鴭,dui
墩,dun
钝,dun
趸,dun
礅,dun
砘,dun
伅,dun
噸,dun
墪,dun
壿,dun
惇,dun
撉,dun
撴,dun
潡,dun
犜,dun
獤,dun
碷,dun
踲,dun
蹾,dun
躉,dun
逇,dun
遯,dun
鈍,dun
驐,dun
朵,duo
舵,duo
剁,duo
垛,duo
跺,duo
躲,duo
咄,duo
铎,duo
裰,duo
哚,duo
缍,duo
亸,duo
凙,duo
刴,duo
嚉,duo
嚲,duo
垜,duo
埵,duo
墯,duo
尮,duo
崜,duo
憜,duo
挅,duo
挆,duo
朶,duo
桗,duo
毲,duo
痥,duo
綞,duo
趓,duo
跥,duo
躱,duo
鈬,duo
鐸,duo
陊,duo
飿,duo
饳,duo
鵽,duo
饿,e
额,e
鹅,e
扼,e
俄,e
讹,e
遏,e
峨,e
娥,e
厄,e
鄂,e
谔,e
锷,e
萼,e
苊,e
轭,e
婀,e
莪,e
鳄,e
颚,e
腭,e
愕,e
噩,e
鹗,e
屙,e
偔,e
匎,e
卾,e
咢,e
囮,e
堮,e
妸,e
妿,e
娿,e
峉,e
峩,e
崿,e
廅,e
悪,e
戹,e
搹,e
擜,e
枙,e
櫮,e
歞,e
涐,e
湂,e
珴,e
琧,e
皒,e
睋,e
